serial_no,college_id,college_name,college_type,state,place,exam_type,category,opening_cutoff_rank,closing_cutoff_rank,seats,year,website,background_images
210,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,OBC,2165,3129,21,2025,https://acharya.ac.in,
211,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,SC,3782,10017,6,2025,https://acharya.ac.in,
212,C524,Acharya Institute of Technology (AIT),MCA,Karnataka,Bengaluru,PGCET,ST,5067,13223,2,2025,https://acharya.ac.in,
213,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,312,2648,27,2025,https://cmrit.ac.in,
214,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,1701,4812,19,2025,https://cmrit.ac.in,
215,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,7727,9947,5,2025,https://cmrit.ac.in,
216,C521,CMR Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7528,12630,2,2025,https://cmrit.ac.in,
217,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,457,3737,33,2025,https://newhorizonindia.edu,
218,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,1925,3451,18,2025,https://newhorizonindia.edu,
219,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7220,10874,6,2025,https://newhorizonindia.edu,
220,C453,New Horizon College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,7550,12932,2,2025,https://newhorizonindia.edu,
221,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,GM,1375,3233,29,2025,https://sjce.ac.in,
222,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,OBC,995,2664,17,2025,https://sjce.ac.in,
223,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,SC,432,432,6,2025,https://sjce.ac.in,
224,C522,SJCE Mysore,MCA,Karnataka,Mysore,PGCET,ST,591,1331,4,2025,https://sjce.ac.in,
225,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,1298,3069,33,2025,https://nmit.ac.in,
226,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2381,4988,18,2025,https://nmit.ac.in,
227,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,7945,11316,4,2025,https://nmit.ac.in,
228,C545,NITTE Meenakshi Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7396,9322,4,2025,https://nmit.ac.in,
229,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,GM,1138,1551,30,2025,https://msrit.edu,
230,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,OBC,802,6480,21,2025,https://msrit.edu,
231,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,SC,481,763,6,2025,https://msrit.edu,
232,C445,MS Ramaiah Institute of Technology (MSRIT),MCA,Karnataka,Bengaluru,PGCET,ST,550,1072,2,2025,https://msrit.edu,
233,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,GM,648,3435,36,2025,https://kristujayanti.edu.in,
234,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,OBC,2137,4158,17,2025,https://kristujayanti.edu.in,
235,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,SC,6870,14298,4,2025,https://kristujayanti.edu.in,
236,C440,Kristu Jayanti College,MCA,Karnataka,Bengaluru,PGCET,ST,6023,15359,4,2025,https://kristujayanti.edu.in,
237,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,GM,744,1589,30,2025,https://reva.edu.in,
238,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,OBC,843,6566,18,2025,https://reva.edu.in,
239,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,SC,4858,14723,5,2025,https://reva.edu.in,
240,C466,REVA University,MCA,Karnataka,Bengaluru,PGCET,ST,5835,15556,4,2025,https://reva.edu.in,
241,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,407,4592,34,2025,https://eastpoint.ac.in,
242,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,575,3314,22,2025,https://eastpoint.ac.in,
243,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7661,10597,4,2025,https://eastpoint.ac.in,
244,C567,East Point College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,4942,10994,2,2025,https://eastpoint.ac.in,
245,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,GM,125,4374,26,2025,https://bit-bangalore.edu.in,
246,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,OBC,2285,3550,21,2025,https://bit-bangalore.edu.in,
247,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,SC,4243,11491,6,2025,https://bit-bangalore.edu.in,
248,C411,BIT Bangalore,MCA,Karnataka,Bengaluru,PGCET,ST,5574,9819,3,2025,https://bit-bangalore.edu.in,
249,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,GM,673,3334,33,2025,https://amc.edu.in,
250,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,OBC,1653,4488,17,2025,https://amc.edu.in,
251,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,SC,7146,8840,5,2025,https://amc.edu.in,
252,C406,AMC Engineering College,MCA,Karnataka,Bengaluru,PGCET,ST,6973,15384,3,2025,https://amc.edu.in,
253,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,666,1611,29,2025,https://rnsit.ac.in,
254,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2149,4848,16,2025,https://rnsit.ac.in,
255,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,3399,14845,4,2025,https://rnsit.ac.in,
256,C468,RNS Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7455,10461,4,2025,https://rnsit.ac.in,
257,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,GM,701,3558,29,2025,https://dsu.edu.in,
258,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,OBC,1365,3741,22,2025,https://dsu.edu.in,
259,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,SC,4855,13659,4,2025,https://dsu.edu.in,
260,C520,DSU (Dayananda Sagar University),MCA,Karnataka,Bengaluru,PGCET,ST,5835,11388,3,2025,https://dsu.edu.in,
261,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,GM,1348,2865,30,2025,The Oxford College of Engineering,
262,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,OBC,1184,3163,22,2025,The Oxford College of Engineering,
263,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,SC,7395,13254,5,2025,The Oxford College of Engineering,
264,C489,Oxford College of Engineering,MCA,Karnataka,Bengaluru,PGCET,ST,8544,10872,2,2025,The Oxford College of Engineering,
265,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,GM,1283,3242,36,2025,https://cit.edu.in,
266,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,OBC,2190,2861,20,2025,https://cit.edu.in,
267,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,SC,7787,13882,5,2025,https://cit.edu.in,
268,C417,Cambridge Institute of Technology,MCA,Karnataka,Bengaluru,PGCET,ST,7484,14843,4,2025,https://cit.edu.in,
269,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,GM,1160,3023,27,2025,https://nie.ac.in,
270,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,OBC,1908,5172,16,2025,https://nie.ac.in,
271,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,SC,3694,9902,6,2025,https://nie.ac.in,
272,C488,NIE Institute of Technology (NIEIT),MCA,Karnataka,Mysore,PGCET,ST,2824,7325,3,2025,https://nie.ac.in,
273,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,GM,2288,5170,31,2025,https://pesce.ac.in,
274,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,OBC,3193,6740,19,2025,https://pesce.ac.in,
275,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,SC,7888,14818,5,2025,https://pesce.ac.in,
276,C456,PES College of Engineering (PESCE),MCA,Karnataka,Mandya,PGCET,ST,8271,15863,3,2025,https://pesce.ac.in,
277,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,GM,1927,4729,29,2025,https://jssstuniv.in,
278,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,OBC,2739,6280,17,2025,https://jssstuniv.in,
279,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,SC,6477,13328,5,2025,https://jssstuniv.in,
280,C480,JSS STU (SJCE South Campus),MCA,Karnataka,Mysore,PGCET,ST,7297,14407,3,2025,https://jssstuniv.in,
281,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,GM,3007,6170,31,2025,https://mcehassan.ac.in,
282,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,OBC,3771,5125,19,2025,https://mcehassan.ac.in,
283,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,SC,2912,5642,5,2025,https://mcehassan.ac.in,
284,C631,Malnad College of Engineering (MCE),MCA,Karnataka,Hassan,PGCET,ST,2458,7891,3,2025,https://mcehassan.ac.in,
285,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,GM,3163,6854,31,2025,https://sjec.ac.in,
286,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,OBC,3929,8314,19,2025,https://sjec.ac.in,
287,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,SC,9648,17890,5,2025,https://sjec.ac.in,
288,C484,St. Joseph Engineering College (SJEC),MCA,Karnataka,Mangaluru,PGCET,ST,7221,9239,3,2025,https://sjec.ac.in,
